threads,time_a,time_b,time_total,speedup_a,speedup_b,speedup_total
1,2.43251,8.40384,10.8364,0.999251,0.978467,0.983133
2,1.22184,4.33702,5.55887,1.98936,1.89597,1.9165
3,1.64051,2.90375,4.54426,1.48167,2.83182,2.3444
4,1.07213,2.29845,3.37059,2.26716,3.57757,3.16075
5,1.1077,2.42347,3.53117,2.19436,3.39303,3.01701
6,0.826324,2.16922,2.99555,2.94157,3.79071,3.55647
7,0.8307,1.83067,2.66137,2.92608,4.49174,4.00304
8,0.675038,1.77767,2.4527,3.60082,4.62566,4.34361
9,0.647909,1.70352,2.35143,3.75159,4.827,4.53069
10,0.582871,1.67732,2.26019,4.1702,4.90241,4.71358
11,0.537412,1.72648,2.2639,4.52296,4.76279,4.70586
12,0.481563,1.67213,2.15369,5.0475,4.91761,4.94665
13,0.459354,1.65711,2.11647,5.29153,4.96217,5.03366
14,0.459304,1.70298,2.16228,5.29211,4.82853,4.927
15,0.434383,1.69964,2.13402,5.59573,4.83803,4.99226
16,0.406183,1.63549,2.04167,5.98422,5.02779,5.21807
17,0.38488,1.66115,2.04603,6.31545,4.95012,5.20696
18,0.397351,1.60634,2.00369,6.11723,5.11904,5.31699
19,0.388251,1.54998,1.93823,6.26062,5.30515,5.49654
20,0.350231,1.59096,1.94119,6.94024,5.16851,5.48817
21,0.364648,1.54899,1.91364,6.66585,5.30853,5.56717
22,0.356331,1.70068,2.05701,6.82145,4.83505,5.17915
23,0.335368,1.55513,1.8905,7.24783,5.28758,5.63532
24,0.35515,1.46778,1.82293,6.84413,5.60226,5.84421
